individual,location,basin,PC1,PC2,PC3,PC4,PC5
bs_bs_w_100,bs_bs,Upper Colorado River Basin,0.784904,0.034451,0.024014,-0.01022,0.003405
bs_bs_w_10,bs_bs,Upper Colorado River Basin,0.78015,0.038476,0.029016,-0.012245,-0.002637
bs_bs_w_127,bs_bs,Upper Colorado River Basin,0.769498,0.03838,0.027366,-0.003337,-0.002693
bs_bs_w_130,bs_bs,Upper Colorado River Basin,0.806232,0.037599,0.026714,-0.016852,-0.007449
bs_bs_w_131,bs_bs,Upper Colorado River Basin,0.798949,0.046442,0.0281,-0.01306,-0.003156
bs_bs_w_150,bs_bs,Upper Colorado River Basin,0.762301,0.035748,0.028016,-0.01015,-0.001324
bs_bs_w_153,bs_bs,Upper Colorado River Basin,0.742375,0.028557,0.028517,-0.011559,-0.002219
bs_bs_w_159,bs_bs,Upper Colorado River Basin,0.78569,0.039168,0.030904,-0.012824,-0.003655
bs_bs_w_161,bs_bs,Upper Colorado River Basin,0.780288,0.032512,0.029151,-0.008293,-0.004417
bs_bs_w_162,bs_bs,Upper Colorado River Basin,0.803958,0.039875,0.032325,-0.015092,-0.008827
bs_bs_w_163,bs_bs,Upper Colorado River Basin,0.747399,0.026629,0.026006,-0.00529,-0.002399
bs_bs_w_169,bs_bs,Upper Colorado River Basin,0.609088,0.035726,0.034009,-0.011824,0.001568
bs_bs_w_16,bs_bs,Upper Colorado River Basin,0.831426,0.036798,0.034862,-0.014703,-0.004331
bs_bs_w_173,bs_bs,Upper Colorado River Basin,0.806067,0.036056,0.025298,-0.003118,-0.002709
bs_bs_w_174,bs_bs,Upper Colorado River Basin,0.741518,0.037127,0.025282,-0.007183,0.005869
bs_bs_w_175,bs_bs,Upper Colorado River Basin,0.82768,0.042377,0.037888,-0.019944,-0.00219
bs_bs_w_17,bs_bs,Upper Colorado River Basin,0.799905,0.031665,0.022774,-0.006078,-0.002459
bs_bs_w_23,bs_bs,Upper Colorado River Basin,0.720344,0.032257,0.023729,-0.000183,0.000161
bs_bs_w_24,bs_bs,Upper Colorado River Basin,0.759899,0.044337,0.026004,-0.006672,-0.000131
bs_bs_w_25,bs_bs,Upper Colorado River Basin,0.737117,0.025499,0.017189,-0.001836,-0.001035
bs_bs_w_26,bs_bs,Upper Colorado River Basin,0.821095,0.050253,0.037096,-0.012471,-0.00578
bs_bs_w_27,bs_bs,Upper Colorado River Basin,0.753509,0.040166,0.01798,-0.012664,-0.007503
bs_bs_w_28,bs_bs,Upper Colorado River Basin,0.644128,0.028217,0.016598,-0.009489,0.003004
bs_bs_w_29,bs_bs,Upper Colorado River Basin,0.728927,0.037329,0.035515,-0.011443,0.004957
bs_bs_w_30,bs_bs,Upper Colorado River Basin,0.779597,0.039074,0.027532,-0.009847,-0.005166
bs_bs_w_31,bs_bs,Upper Colorado River Basin,0.77992,0.028898,0.020463,-0.007072,-0.000797
bs_bs_w_32,bs_bs,Upper Colorado River Basin,0.733319,0.030326,0.017264,-0.007659,-0.001937
bs_bs_w_34,bs_bs,Upper Colorado River Basin,0.705334,0.030332,0.023733,-0.002788,0.005056
bs_bs_w_35,bs_bs,Upper Colorado River Basin,0.709105,0.020948,0.019747,-0.006771,-0.002695
bs_bs_w_36,bs_bs,Upper Colorado River Basin,0.68082,0.041784,0.018348,-0.006619,-0.006773
bs_bs_w_37,bs_bs,Upper Colorado River Basin,0.809199,0.041128,0.029053,-0.005782,-0.005432
bs_bs_w_39,bs_bs,Upper Colorado River Basin,0.749958,0.039946,0.027526,-0.009233,0.008451
bs_bs_w_40,bs_bs,Upper Colorado River Basin,0.751667,0.032246,0.021773,-0.002136,-0.003217
bs_bs_w_41,bs_bs,Upper Colorado River Basin,0.714467,0.025849,0.023413,-0.011054,0.004105
bs_bs_w_42,bs_bs,Upper Colorado River Basin,0.599674,0.027495,0.022223,-9.90E-05,0.002586
bs_bs_w_43,bs_bs,Upper Colorado River Basin,0.844984,0.036731,0.024462,-0.008514,-0.006109
bs_bs_w_44,bs_bs,Upper Colorado River Basin,0.801329,0.039761,0.028849,-0.00852,-0.001339
bs_bs_w_45,bs_bs,Upper Colorado River Basin,0.810077,0.033705,0.03027,-0.011413,-0.002038
bs_bs_w_53,bs_bs,Upper Colorado River Basin,0.815037,0.034907,0.026407,-0.016643,-0.005077
bs_bs_w_58,bs_bs,Upper Colorado River Basin,0.655062,0.033278,0.025981,-0.01149,0.004931
bs_bs_w_60,bs_bs,Upper Colorado River Basin,0.737886,0.03502,0.020465,-0.000132,0.002654
bs_bs_w_75,bs_bs,Upper Colorado River Basin,0.816019,0.046045,0.028987,-0.013999,-0.005668
bs_bs_w_76,bs_bs,Upper Colorado River Basin,0.867758,0.043653,0.036973,-0.01766,-0.016161
bs_bs_w_78,bs_bs,Upper Colorado River Basin,0.848977,0.0537,0.043728,-0.01774,-0.013021
bs_bs_w_8,bs_bs,Upper Colorado River Basin,0.779817,0.036301,0.030628,-0.007398,-0.000345
bs_bs_w_98,bs_bs,Upper Colorado River Basin,0.747124,0.024488,0.017492,-0.002942,0.003323
bs_bs_w_99,bs_bs,Upper Colorado River Basin,0.769868,0.031917,0.023273,-0.014875,-0.000801
bs_bs_w_9,bs_bs,Upper Colorado River Basin,0.801316,0.038748,0.027074,-0.006486,-0.005489
bs_ls_fw_135,bs_ls,Upper Colorado River Basin,0.748905,0.03378,0.023445,-0.006842,-0.001097
bs_ls_fw_149,bs_ls,Upper Colorado River Basin,0.757508,0.030786,0.027666,-0.008939,0.001072
bs_ls_w_41,bs_ls,Upper Colorado River Basin,0.853127,0.052076,0.043052,-0.015234,0.000177
bs_ls_w_42,bs_ls,Upper Colorado River Basin,0.81706,0.046001,0.036062,-0.014479,0.005912
bs_ls_w_43,bs_ls,Upper Colorado River Basin,0.771342,0.033434,0.028961,-0.015554,-0.001075
bs_ls_w_45,bs_ls,Upper Colorado River Basin,0.796033,0.03923,0.035377,-0.010418,0.002833
bs_ls_w_46,bs_ls,Upper Colorado River Basin,0.689654,0.034974,0.017795,-0.008347,-0.00065
bs_ls_w_49,bs_ls,Upper Colorado River Basin,0.815495,0.041945,0.035407,-0.019148,0.002222
bs_ls_w_50,bs_ls,Upper Colorado River Basin,0.813724,0.031951,0.022378,-0.013152,-0.003685
bs_ls_w_51,bs_ls,Upper Colorado River Basin,0.68101,0.027578,0.021025,-0.010208,0.002707
bs_ls_w_52,bs_ls,Upper Colorado River Basin,0.735839,0.032999,0.02788,-0.008763,-0.000122
bs_ls_w_53,bs_ls,Upper Colorado River Basin,0.800541,0.040145,0.033635,-0.015656,0.003382
bs_ls_w_54,bs_ls,Upper Colorado River Basin,0.823856,0.040068,0.026625,-0.012594,-0.00097
bs_ls_w_55,bs_ls,Upper Colorado River Basin,0.811601,0.042661,0.038426,-0.013217,-0.001326
bs_ls_w_56,bs_ls,Upper Colorado River Basin,0.754938,0.031046,0.024295,-0.008969,-0.001103
bs_ls_w_57,bs_ls,Upper Colorado River Basin,0.746696,0.046631,0.025462,-0.014052,-0.000195
bs_ls_w_58,bs_ls,Upper Colorado River Basin,0.783088,0.033655,0.026919,-0.014651,-0.002408
bs_ls_w_59,bs_ls,Upper Colorado River Basin,0.797052,0.031715,0.033575,-0.019222,0.003128
bs_ls_w_60,bs_ls,Upper Colorado River Basin,0.78871,0.036244,0.025896,-0.011368,-0.000263
bs_ls_w_61,bs_ls,Upper Colorado River Basin,0.8392,0.048386,0.036673,-0.01356,-0.002016
bs_ls_w_62,bs_ls,Upper Colorado River Basin,0.86671,0.045406,0.0368,-0.018192,0.000852
bs_ls_w_63,bs_ls,Upper Colorado River Basin,0.792764,0.030383,0.034726,-0.015802,0.006309
bs_ls_w_64,bs_ls,Upper Colorado River Basin,0.810983,0.036625,0.030909,-0.012735,0.001483
bs_ls_w_65,bs_ls,Upper Colorado River Basin,0.831369,0.046221,0.04321,-0.021615,0.005188
bs_ls_w_66,bs_ls,Upper Colorado River Basin,0.813189,0.043362,0.029765,-0.015586,0.001073
bs_ls_w_67,bs_ls,Upper Colorado River Basin,0.771486,0.039118,0.029926,-0.007227,-0.002217
bs_ls_w_68,bs_ls,Upper Colorado River Basin,0.792431,0.046526,0.029272,-0.01139,-9.80E-05
bs_ls_w_69,bs_ls,Upper Colorado River Basin,0.791984,0.029197,0.025677,-0.018785,0.000303
bs_ls_w_70,bs_ls,Upper Colorado River Basin,0.800848,0.039836,0.042915,-0.019286,0.003225
bs_ls_w_71,bs_ls,Upper Colorado River Basin,0.876568,0.05264,0.047201,-0.016026,0.000973
bs_ls_w_72,bs_ls,Upper Colorado River Basin,0.834768,0.046971,0.043031,-0.013379,0.001282
bs_ls_w_73,bs_ls,Upper Colorado River Basin,0.846753,0.037189,0.035315,-0.012384,0.005235
bs_ls_w_74,bs_ls,Upper Colorado River Basin,0.835897,0.039346,0.037904,-0.015719,0.004858
bs_ls_w_75,bs_ls,Upper Colorado River Basin,0.816906,0.041358,0.040915,-0.021844,0.004435
bs_ls_w_76,bs_ls,Upper Colorado River Basin,0.785268,0.036182,0.031849,-0.017227,-0.000567
bs_ls_w_77,bs_ls,Upper Colorado River Basin,0.801047,0.032218,0.037815,-0.00838,0.005473
bs_ls_w_78,bs_ls,Upper Colorado River Basin,0.77016,0.027253,0.032911,-0.012676,0.002355
bs_ls_w_79,bs_ls,Upper Colorado River Basin,0.818941,0.048444,0.034342,-0.015345,0.001766
bs_ls_w_80,bs_ls,Upper Colorado River Basin,0.861829,0.048785,0.044586,-0.018376,0.007227
bs_ls_w_81,bs_ls,Upper Colorado River Basin,0.851563,0.047272,0.040259,-0.018422,7.20E-05
bs_ls_w_82,bs_ls,Upper Colorado River Basin,0.803357,0.044783,0.037366,-0.01783,0.002374
bs_ls_w_83,bs_ls,Upper Colorado River Basin,0.765449,0.032266,0.026003,-0.011532,0.001664
bs_ls_w_84,bs_ls,Upper Colorado River Basin,0.717491,0.031507,0.018469,-0.005602,-0.001318
bs_ls_w_86,bs_ls,Upper Colorado River Basin,0.719887,0.030117,0.019987,-0.005862,-0.001005
bs_ls_w_88,bs_ls,Upper Colorado River Basin,0.717291,0.030178,0.018788,-0.005208,0.001839
bs_ls_w_89,bs_ls,Upper Colorado River Basin,0.704778,0.026439,0.021548,-0.00599,-0.001952
bs_ls_w_90,bs_ls,Upper Colorado River Basin,0.781016,0.038187,0.03548,-0.014159,0.007953
bs_ls_w_91,bs_ls,Upper Colorado River Basin,0.795418,0.039701,0.027297,-0.013105,-0.004037
bs_ls_w_92,bs_ls,Upper Colorado River Basin,0.792903,0.041164,0.038258,-0.013063,0.006034
bs_ls_w_93,bs_ls,Upper Colorado River Basin,0.690861,0.031067,0.021532,-0.003327,-0.00014
pow_lgc_w_4,pow_lgc,BighornWY,0.265393,-0.174235,-0.208223,0.15293,0.018004
pow_lgc_w_3,pow_lgc,BighornWY,0.278247,-0.183315,-0.209829,0.161934,0.012053
